EMR,GOOG
148.8878631591797,330.1074523925781
144.66407775878906,321.9331970214844
148.9974365234375,328.1488342285156
149.68478393554688,330.6070861816406
147.11465454101562,328.19879150390625
148.55911254882812,333.35516357421875
147.10470581054688,334.76416015625
147.85183715820312,336.04327392578125
150.14303588867188,338.4216003417969
146.39743041992188,338.29168701171875
148.06103515625,344.6571960449219
151.5177459716797,340.4601745605469
156.7177734375,333.1053161621094
150.3621826171875,331.09674072265625
156.7775421142578,322.87255859375
159.3974609375,324.171630859375
161.07102966308594,318.40570068359375
154.07791137695312,311.1108093261719
144.4250030517578,309.1521911621094
148.1300048828125,305.8045654296875
148.85000610351562,302.6068115234375
151.13999938964844,303.7260437011719
151.3000030517578,303.3462829589844
148.6199951171875,314.6783142089844
145.50999450683594,311.4705810546875
150.8800048828125,310.7011413574219
148.44000244140625,312.80963134765625
152.72000122070312,306.93377685546875
150.75,311.21075439453125
152.0800018310547,306.1443176269531
146.57000732421875,303.3462829589844
145.2100067138672,303.23638916015625
142.22000122070312,300.6981506347656
138.36000061035156,298.0899963378906
141.1199951171875,306.010009765625
140.10000610351562,306.92999267578125
139.57000732421875,308.4200134277344
132.17999267578125,303.2099914550781
132.24000549316406,301.4599914550781
133.08999633789062,304.4200134277344
132.49000549316406,309.4100036621094
129.8800048828125,306.29998779296875
129.89999389648438,305.7300109863281
128.14999389648438,298.7900085449219
129.8300018310547,299.0199890136719
130.14999389648438,289.20001220703125
